Mapped 'مدين مصري' to debitEgp at column index 18
Parsed NUMERIC/FORMULA for col 16 row 1 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 1 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 1 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 1 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 2 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 2 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 2 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 2 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 3 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 3 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 3 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 3 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 4 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 4 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 4 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 4 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 5 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 5 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 5 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 5 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 6 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 6 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 6 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 6 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 7 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 7 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 7 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 7 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 8 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 8 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 8 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 8 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 9 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 9 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 9 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 9 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 10 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 10 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 10 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 10 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 11 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 11 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 11 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 11 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 12 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 12 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 12 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 12 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 13 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 13 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 13 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 13 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 14 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 14 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 14 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 14 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 15 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 15 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 15 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 15 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 16 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 16 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 16 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 16 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 17 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 17 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 17 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 17 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 18 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 18 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 18 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 18 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 19 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 19 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 19 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 19 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 20 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 20 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 20 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 20 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 21 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 21 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 21 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 21 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 22 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 22 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 22 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 22 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 23 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 23 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 23 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 23 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 24 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 24 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 24 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 24 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 25 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 25 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 25 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 25 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 26 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 26 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 26 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 26 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 27 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 27 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 27 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 27 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 28 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 28 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 28 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 28 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 29 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 29 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 29 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 29 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 30 -> 0.0
Parsed NUMERIC/FORMULA for col 17 row 30 -> 0.0
Parsed NUMERIC/FORMULA for col 18 row 30 -> 0.0
Parsed NUMERIC/FORMULA for col 19 row 30 -> 0.0
Parsed NUMERIC/FORMULA for col 16 row 31 -> 0.0
